ID,Dex,Time,Taker,Taker Address,Taker Amount,Taker Token,Maker,Maker Address,Maker Amount,Maker Token,Tx,Create TS
23,SushiSwap,10h ago,🤓 Flash Boy: 0x487,0x487d0c7553c8d88500085a805d316ed5b18357f8,"24,728",BAO,🏦 🤖 Sushiswap Pool: YFI-BAO,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,.0003,YFI,,2021-06-24 09:21:19
24,SushiSwap,11h ago,🤓 Smart LP: 0xd30,0xd30391e21741c54c32987bcfca3d880e6d261cb0,.1975,0xafc…2f257,🏦 🤖 SushiSwap Pool: WBTC-LFBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,.1195,WBTC,,2021-06-24 09:21:19
25,SushiSwap,11h ago,🤓 Smart LP: 0xd30,0xd30391e21741c54c32987bcfca3d880e6d261cb0,.3178,0xafc…2f257,🏦 🤖 SushiSwap Pool: WBTC-LFBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,.2096,WBTC,,2021-06-24 09:21:19
26,Curve,11h ago,🤓 Flash Boy: 0x84a,0x84abd78727950aa776f7939102f51df6b166ab84,"303,000",USDT,🏦 🤖 Curve.fi: UST Swap,0x6b175474e89094c44da98b954eedeac495271d0f,"302,447",DAI,,2021-06-24 09:21:19
27,SushiSwap,11h ago,🤓 gasistoohigh.eth,0x75f03bcf0e56b7de72ed26585caee949f0d5bf1a,.1498,WETH,🏦 🤖 Sushiswap Pool: USDC-WETH,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,291,USDC,,2021-06-24 09:21:19
0,Uniswap,1h ago,🤓 Flash Boy: 0x39d,0x39de56518e136d472ef9645e7d6e1f7c6c8ed37b,.0497,0xf05…0391f,🏦 🤖 Uniswap v2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,367,USDC,,2021-06-24 09:52:27
1,Uniswap,1h ago,🤓 Flash Boy: 0x125,0x125377dbdb4ed6b49f57a569a3d9282f8e3f5366,.069,WETH,🏦 🤖 Uniswap v2 Pool: WETH-USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,133,USDT,,2021-06-24 09:52:27
2,Uniswap,2h ago,🤓 Flash Boy: 0x39d,0x39de56518e136d472ef9645e7d6e1f7c6c8ed37b,.0377,0xf05…0391f,🏦 🤖 Uniswap v2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,395,USDC,,2021-06-24 09:52:27
3,Uniswap,2h ago,🤓 Flash Boy: 0x39d,0x39de56518e136d472ef9645e7d6e1f7c6c8ed37b,.4973,KBTC,🏦 🤖 Uniswap v2 Pool: WBTC-KBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,.361,WBTC,,2021-06-24 09:52:27
4,Uniswap,2h ago,🤓 Flash Boy: 0x39d,0x39de56518e136d472ef9645e7d6e1f7c6c8ed37b,420,0xbf1…179ef,🏦 🤖 Uniswap v2,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,.0755,WBTC,,2021-06-24 09:52:27
5,Uniswap,2h ago,🤓 Flash Boy: 0x439,0x439f9d50c2cfab041f8d4b9c8fc553088f88eadc,"1,500",UST,🏦 🤖 Uniswap v3 Pool: USDC-UST,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,"1,500",USDC,,2021-06-24 09:52:27
6,Uniswap,3h ago,🤓 Flash Boy: 0x439,0x439f9d50c2cfab041f8d4b9c8fc553088f88eadc,"9,913",USDC,🏦 🤖 Uniswap v3 Pool: USDC-UST,0xa47c8bf37f92abed4a126bda807a7b7498661acd,"9,900",UST,,2021-06-24 09:52:27
7,Uniswap,4h ago,🤓 Flash Boy: 0xa0f,0xa0f75491720835b36edc92d06ddc468d201e9b73,1.77,WETH,🏦 🤖 Uniswap v3 Pool: USDC-WETH,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,"3,392",USDC,,2021-06-24 09:52:27
8,Uniswap,5h ago,🤓 Flash Boy: 0x782,0x7822159ee394d14745cde63a706f965fb73c7ac8,.1,WETH,🏦 🤖 Uniswap v2,0xcf8335727b776d190f9d15a54e6b9b9348439eee,"22,367",0xcf8…39eee,,2021-06-24 09:52:27
9,Uniswap,6h ago,🤓 Flash Boy: 0xd6d,0xd6d7ea4833f22edbed3dbd3d71adf3cdd8e36a01,7.5,WETH,🏦 🤖 Uniswap v3 Pool: USDC-WETH,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,"14,311",USDC,,2021-06-24 09:52:27
10,Uniswap,6h ago,🤓 Flash Boy: 0xe80,0xe80b7513372242ef7e0714884db68b21859b308f,.2,WETH,🏦 🤖 Uniswap v3 Pool: DAI-WETH,0x6b175474e89094c44da98b954eedeac495271d0f,381,DAI,,2021-06-24 09:52:27
11,Uniswap,7h ago,🤓 Smart LP: 0x124,0x12429f1842c56e2116f93cbd6cf09418e49abcd7,100,WETH,🏦 🤖 Uniswap v2 Pool: FEI-WETH,0x956f47f50a910163d8bf957cf5846d573e7f87ca,"192,158",FEI,,2021-06-24 09:52:27
12,Uniswap,7h ago,🤓 Smart LP: 0x124,0x12429f1842c56e2116f93cbd6cf09418e49abcd7,100,WETH,🏦 🤖 Uniswap v2 Pool: FEI-WETH,0x956f47f50a910163d8bf957cf5846d573e7f87ca,"192,560",FEI,,2021-06-24 09:52:27
13,Uniswap,7h ago,🤓 andreasengel.eth,0x781fea3353d6efbbabc9fac0b4725eff3c77dba7,.0349,WETH,🏦 🤖 Uniswap v3 Pool: CVX-WETH,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,20,CVX,,2021-06-24 09:52:27
14,Uniswap,8h ago,🤓 Flash Boy: 0xa0f,0xa0f75491720835b36edc92d06ddc468d201e9b73,25,0xfe2…a043a,🏦 🤖 Uniswap v3 Pool: rETH2-sETH2,0x20bc832ca081b91433ff6c17f85701b6e92486c5,25,0x20b…486c5,,2021-06-24 09:52:27
15,SushiSwap,8h ago,🤓 Flash Boy: 0xd25,0xd25e6eb12904d55f889f27fda234fd4b659046cc,8.28,WETH,🏦 🤖 Sushiswap Pool: USDC-WETH,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,"15,837",USDC,,2021-06-24 09:52:27
16,Uniswap,8h ago,🤓 Smart LP: 0x124,0x12429f1842c56e2116f93cbd6cf09418e49abcd7,100,WETH,🏦 🤖 Uniswap v2 Pool: FEI-WETH,0x956f47f50a910163d8bf957cf5846d573e7f87ca,"193,662",FEI,,2021-06-24 09:52:27
17,Uniswap,8h ago,🤓 Smart LP: 0x124,0x12429f1842c56e2116f93cbd6cf09418e49abcd7,100,WETH,🏦 🤖 Uniswap v2 Pool: FEI-WETH,0x956f47f50a910163d8bf957cf5846d573e7f87ca,"194,281",FEI,,2021-06-24 09:52:27
18,Uniswap,8h ago,🤓 Smart LP: 0x124,0x12429f1842c56e2116f93cbd6cf09418e49abcd7,100,WETH,🏦 🤖 Uniswap v2 Pool: FEI-WETH,0x956f47f50a910163d8bf957cf5846d573e7f87ca,"195,100",FEI,,2021-06-24 09:52:27
19,Uniswap,8h ago,🤓 Smart LP: 0x124,0x12429f1842c56e2116f93cbd6cf09418e49abcd7,100,WETH,🏦 🤖 Uniswap v2 Pool: FEI-WETH,0x956f47f50a910163d8bf957cf5846d573e7f87ca,"195,493",FEI,,2021-06-24 09:52:27
20,Uniswap,9h ago,🤓 Smart LP: 0x124,0x12429f1842c56e2116f93cbd6cf09418e49abcd7,100,WETH,🏦 🤖 Uniswap v2 Pool: FEI-WETH,0x956f47f50a910163d8bf957cf5846d573e7f87ca,"195,903",FEI,,2021-06-24 09:52:27
21,Uniswap,9h ago,🤓 Smart LP: 0x124,0x12429f1842c56e2116f93cbd6cf09418e49abcd7,100,WETH,🏦 🤖 Uniswap v2 Pool: FEI-WETH,0x956f47f50a910163d8bf957cf5846d573e7f87ca,"196,317",FEI,,2021-06-24 09:52:27
22,Uniswap,10h ago,🤓 Flash Boy: 0xd6d,0xd6d7ea4833f22edbed3dbd3d71adf3cdd8e36a01,.4,WETH,🏦 🤖 Uniswap v3 Pool: USDC-WETH,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,788,USDC,,2021-06-24 09:52:27
23,SushiSwap,11h ago,🤓 Flash Boy: 0x487,0x487d0c7553c8d88500085a805d316ed5b18357f8,"24,728",BAO,🏦 🤖 Sushiswap Pool: YFI-BAO,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,.0003,YFI,,2021-06-24 09:52:27
24,SushiSwap,11h ago,🤓 Smart LP: 0xd30,0xd30391e21741c54c32987bcfca3d880e6d261cb0,.1975,0xafc…2f257,🏦 🤖 SushiSwap Pool: WBTC-LFBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,.1195,WBTC,,2021-06-24 09:52:27
25,SushiSwap,11h ago,🤓 Smart LP: 0xd30,0xd30391e21741c54c32987bcfca3d880e6d261cb0,.3178,0xafc…2f257,🏦 🤖 SushiSwap Pool: WBTC-LFBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,.2096,WBTC,,2021-06-24 09:52:27
26,Curve,11h ago,🤓 Flash Boy: 0x84a,0x84abd78727950aa776f7939102f51df6b166ab84,"303,000",USDT,🏦 🤖 Curve.fi: UST Swap,0x6b175474e89094c44da98b954eedeac495271d0f,"302,447",DAI,,2021-06-24 09:52:27
27,SushiSwap,12h ago,🤓 gasistoohigh.eth,0x75f03bcf0e56b7de72ed26585caee949f0d5bf1a,.1498,WETH,🏦 🤖 Sushiswap Pool: USDC-WETH,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,291,USDC,,2021-06-24 09:52:27
0,SushiSwap,38m ago,🤓 Flash Boy: 0x9ee,0x9eec955b624a4ca8ab9bb2c2fef33bc133151dc7,.7579,WETH,🏦 🤖 Sushiswap Pool: WETH-USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,"1,472",USDT,,2021-06-24 10:23:03
1,SushiSwap,39m ago,🤓 Flash Boy: 0x9ee,0x9eec955b624a4ca8ab9bb2c2fef33bc133151dc7,.7558,WETH,🏦 🤖 Sushiswap Pool: WETH-USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,"1,468",USDT,,2021-06-24 10:23:03
2,Uniswap,39m ago,🤓 Flash Boy: 0x848,0x848ad4041397c1b75b50102efdde22bab8d5b4ab,.1,WBTC,🏦 🤖 Uniswap v2 Pool: WBTC-KBTC,0xe6c3502997f97f9bde34cb165fbce191065e068f,.1391,KBTC,,2021-06-24 10:23:03
3,Uniswap,43m ago,🤓 Flash Boy: 0xdcb,0xdcb65cfe03e44362df6028abf2971e7c1b65ba33,.5125,WETH,🏦 🤖 Uniswap v3 Pool: WETH-USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,"1,000",USDT,,2021-06-24 10:23:03
4,Uniswap,2h ago,🤓 Flash Boy: 0x39d,0x39de56518e136d472ef9645e7d6e1f7c6c8ed37b,.0497,0xf05…0391f,🏦 🤖 Uniswap v2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,367,USDC,,2021-06-24 10:23:03
5,Uniswap,2h ago,🤓 Flash Boy: 0x125,0x125377dbdb4ed6b49f57a569a3d9282f8e3f5366,.069,WETH,🏦 🤖 Uniswap v2 Pool: WETH-USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,133,USDT,,2021-06-24 10:23:03
6,Uniswap,2h ago,🤓 Flash Boy: 0x39d,0x39de56518e136d472ef9645e7d6e1f7c6c8ed37b,.0377,0xf05…0391f,🏦 🤖 Uniswap v2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,395,USDC,,2021-06-24 10:23:03
7,Uniswap,2h ago,🤓 Flash Boy: 0x39d,0x39de56518e136d472ef9645e7d6e1f7c6c8ed37b,.4973,KBTC,🏦 🤖 Uniswap v2 Pool: WBTC-KBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,.361,WBTC,,2021-06-24 10:23:03
8,Uniswap,3h ago,🤓 Flash Boy: 0x39d,0x39de56518e136d472ef9645e7d6e1f7c6c8ed37b,420,0xbf1…179ef,🏦 🤖 Uniswap v2,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,.0755,WBTC,,2021-06-24 10:23:03
9,Uniswap,3h ago,🤓 Flash Boy: 0x439,0x439f9d50c2cfab041f8d4b9c8fc553088f88eadc,"1,500",UST,🏦 🤖 Uniswap v3 Pool: USDC-UST,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,"1,500",USDC,,2021-06-24 10:23:03
10,Uniswap,4h ago,🤓 Flash Boy: 0x439,0x439f9d50c2cfab041f8d4b9c8fc553088f88eadc,"9,913",USDC,🏦 🤖 Uniswap v3 Pool: USDC-UST,0xa47c8bf37f92abed4a126bda807a7b7498661acd,"9,900",UST,,2021-06-24 10:23:03
11,Uniswap,4h ago,🤓 Flash Boy: 0xa0f,0xa0f75491720835b36edc92d06ddc468d201e9b73,1.77,WETH,🏦 🤖 Uniswap v3 Pool: USDC-WETH,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,"3,392",USDC,,2021-06-24 10:23:03
12,Uniswap,5h ago,🤓 Flash Boy: 0x782,0x7822159ee394d14745cde63a706f965fb73c7ac8,.1,WETH,🏦 🤖 Uniswap v2,0xcf8335727b776d190f9d15a54e6b9b9348439eee,"22,367",0xcf8…39eee,,2021-06-24 10:23:03
13,Uniswap,6h ago,🤓 Flash Boy: 0xd6d,0xd6d7ea4833f22edbed3dbd3d71adf3cdd8e36a01,7.5,WETH,🏦 🤖 Uniswap v3 Pool: USDC-WETH,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,"14,311",USDC,,2021-06-24 10:23:03
14,Uniswap,6h ago,🤓 Flash Boy: 0xe80,0xe80b7513372242ef7e0714884db68b21859b308f,.2,WETH,🏦 🤖 Uniswap v3 Pool: DAI-WETH,0x6b175474e89094c44da98b954eedeac495271d0f,381,DAI,,2021-06-24 10:23:03
15,Uniswap,8h ago,🤓 Smart LP: 0x124,0x12429f1842c56e2116f93cbd6cf09418e49abcd7,100,WETH,🏦 🤖 Uniswap v2 Pool: FEI-WETH,0x956f47f50a910163d8bf957cf5846d573e7f87ca,"192,158",FEI,,2021-06-24 10:23:03
16,Uniswap,8h ago,🤓 Smart LP: 0x124,0x12429f1842c56e2116f93cbd6cf09418e49abcd7,100,WETH,🏦 🤖 Uniswap v2 Pool: FEI-WETH,0x956f47f50a910163d8bf957cf5846d573e7f87ca,"192,560",FEI,,2021-06-24 10:23:03
17,Uniswap,8h ago,🤓 andreasengel.eth,0x781fea3353d6efbbabc9fac0b4725eff3c77dba7,.0349,WETH,🏦 🤖 Uniswap v3 Pool: CVX-WETH,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,20,CVX,,2021-06-24 10:23:03
18,Uniswap,8h ago,🤓 Flash Boy: 0xa0f,0xa0f75491720835b36edc92d06ddc468d201e9b73,25,0xfe2…a043a,🏦 🤖 Uniswap v3 Pool: rETH2-sETH2,0x20bc832ca081b91433ff6c17f85701b6e92486c5,25,0x20b…486c5,,2021-06-24 10:23:03
19,SushiSwap,9h ago,🤓 Flash Boy: 0xd25,0xd25e6eb12904d55f889f27fda234fd4b659046cc,8.28,WETH,🏦 🤖 Sushiswap Pool: USDC-WETH,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,"15,837",USDC,,2021-06-24 10:23:03
20,Uniswap,9h ago,🤓 Smart LP: 0x124,0x12429f1842c56e2116f93cbd6cf09418e49abcd7,100,WETH,🏦 🤖 Uniswap v2 Pool: FEI-WETH,0x956f47f50a910163d8bf957cf5846d573e7f87ca,"193,662",FEI,,2021-06-24 10:23:03
21,Uniswap,9h ago,🤓 Smart LP: 0x124,0x12429f1842c56e2116f93cbd6cf09418e49abcd7,100,WETH,🏦 🤖 Uniswap v2 Pool: FEI-WETH,0x956f47f50a910163d8bf957cf5846d573e7f87ca,"194,281",FEI,,2021-06-24 10:23:03
22,Uniswap,9h ago,🤓 Smart LP: 0x124,0x12429f1842c56e2116f93cbd6cf09418e49abcd7,100,WETH,🏦 🤖 Uniswap v2 Pool: FEI-WETH,0x956f47f50a910163d8bf957cf5846d573e7f87ca,"195,100",FEI,,2021-06-24 10:23:03
23,Uniswap,9h ago,🤓 Smart LP: 0x124,0x12429f1842c56e2116f93cbd6cf09418e49abcd7,100,WETH,🏦 🤖 Uniswap v2 Pool: FEI-WETH,0x956f47f50a910163d8bf957cf5846d573e7f87ca,"195,493",FEI,,2021-06-24 10:23:03
24,Uniswap,9h ago,🤓 Smart LP: 0x124,0x12429f1842c56e2116f93cbd6cf09418e49abcd7,100,WETH,🏦 🤖 Uniswap v2 Pool: FEI-WETH,0x956f47f50a910163d8bf957cf5846d573e7f87ca,"195,903",FEI,,2021-06-24 10:23:03
25,Uniswap,9h ago,🤓 Smart LP: 0x124,0x12429f1842c56e2116f93cbd6cf09418e49abcd7,100,WETH,🏦 🤖 Uniswap v2 Pool: FEI-WETH,0x956f47f50a910163d8bf957cf5846d573e7f87ca,"196,317",FEI,,2021-06-24 10:23:03
26,Uniswap,11h ago,🤓 Flash Boy: 0xd6d,0xd6d7ea4833f22edbed3dbd3d71adf3cdd8e36a01,.4,WETH,🏦 🤖 Uniswap v3 Pool: USDC-WETH,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,788,USDC,,2021-06-24 10:23:03
27,SushiSwap,11h ago,🤓 Flash Boy: 0x487,0x487d0c7553c8d88500085a805d316ed5b18357f8,"24,728",BAO,🏦 🤖 Sushiswap Pool: YFI-BAO,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,.0003,YFI,,2021-06-24 10:23:03
0,Uniswap,55m ago,🤓 Flash Boy: 0x297,0x297946c26171008ba8c0e5642814b5fe6b842ab7,.2053,WETH,🏦 🤖 Uniswap v3 Pool: SNX-WETH,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,60,SNX,,2021-06-24 10:53:39
1,SushiSwap,1h ago,🤓 Flash Boy: 0x9ee,0x9eec955b624a4ca8ab9bb2c2fef33bc133151dc7,.7579,WETH,🏦 🤖 Sushiswap Pool: WETH-USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,"1,472",USDT,,2021-06-24 10:53:39
2,SushiSwap,1h ago,🤓 Flash Boy: 0x9ee,0x9eec955b624a4ca8ab9bb2c2fef33bc133151dc7,.7558,WETH,🏦 🤖 Sushiswap Pool: WETH-USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,"1,468",USDT,,2021-06-24 10:53:39
3,Uniswap,1h ago,🤓 Flash Boy: 0x848,0x848ad4041397c1b75b50102efdde22bab8d5b4ab,.1,WBTC,🏦 🤖 Uniswap v2 Pool: WBTC-KBTC,0xe6c3502997f97f9bde34cb165fbce191065e068f,.1391,KBTC,,2021-06-24 10:53:39
4,Uniswap,1h ago,🤓 Flash Boy: 0xdcb,0xdcb65cfe03e44362df6028abf2971e7c1b65ba33,.5125,WETH,🏦 🤖 Uniswap v3 Pool: WETH-USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,"1,000",USDT,,2021-06-24 10:53:39
5,Uniswap,2h ago,🤓 Flash Boy: 0x39d,0x39de56518e136d472ef9645e7d6e1f7c6c8ed37b,.0497,0xf05…0391f,🏦 🤖 Uniswap v2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,367,USDC,,2021-06-24 10:53:39
6,Uniswap,2h ago,🤓 Flash Boy: 0x125,0x125377dbdb4ed6b49f57a569a3d9282f8e3f5366,.069,WETH,🏦 🤖 Uniswap v2 Pool: WETH-USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,133,USDT,,2021-06-24 10:53:39
7,Uniswap,3h ago,🤓 Flash Boy: 0x39d,0x39de56518e136d472ef9645e7d6e1f7c6c8ed37b,.0377,0xf05…0391f,🏦 🤖 Uniswap v2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,395,USDC,,2021-06-24 10:53:39
8,Uniswap,3h ago,🤓 Flash Boy: 0x39d,0x39de56518e136d472ef9645e7d6e1f7c6c8ed37b,.4973,KBTC,🏦 🤖 Uniswap v2 Pool: WBTC-KBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,.361,WBTC,,2021-06-24 10:53:39
9,Uniswap,3h ago,🤓 Flash Boy: 0x39d,0x39de56518e136d472ef9645e7d6e1f7c6c8ed37b,420,0xbf1…179ef,🏦 🤖 Uniswap v2,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,.0755,WBTC,,2021-06-24 10:53:39
10,Uniswap,3h ago,🤓 Flash Boy: 0x439,0x439f9d50c2cfab041f8d4b9c8fc553088f88eadc,"1,500",UST,🏦 🤖 Uniswap v3 Pool: USDC-UST,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,"1,500",USDC,,2021-06-24 10:53:39
